id_pedido,texto_original
LAI_001,"Solicito informações sobre contratos públicos. Meu nome é João da Silva, CPF 123.456.789-00."
LAI_002,"Requeiro dados sobre gastos com publicidade do GDF no último trimestre. Favor enviar relatório detalhado."
LAI_003,"Preciso de cópia do processo 123/2023. Sou Maria Aparecida Santos, telefone (61) 99999-8888."
LAI_004,"Gostaria de saber quantos servidores estão lotados na Secretaria de Saúde e qual a média salarial."
LAI_005,"Solicito atas de reunião do Conselho de Educação. Meu email: joao.silva@email.com"
LAI_006,"Venho requerer informações sobre licitações para reforma de escolas públicas no ano corrente."
LAI_007,"Solicito listagem de veículos da frota oficial do GDF. Att, Ana Paula Ferreira"
LAI_008,"Sou Pedro Costa, RG 12.345.678-9, e solicito dados de vacinação contra COVID-19."
LAI_009,"Requeiro estatísticas de atendimento nas UPAs do Distrito Federal no primeiro semestre."
LAI_010,"Solicito informações sobre minha aposentadoria. CPF 987.654.321-00, telefone (61) 98765-4321."
LAI_011,"Preciso de dados sobre obras de mobilidade urbana previstas para 2024."
LAI_012,"Sou Carlos Eduardo Mendes, email carlos.mendes@gmail.com, e solicito cópia do edital 10/2024."
LAI_013,"Gostaria de informações sobre programas sociais vigentes no DF."
LAI_014,"Solicito dados de arrecadação tributária do GDF. Contato: (61) 91234-5678"
LAI_015,"Requeiro listagem de convênios firmados pela Secretaria de Cultura em 2023."
LAI_016,"Meu nome é Juliana Oliveira Santos, CPF 456.789.123-00, solicito dados do processo 456/2023."
LAI_017,"Preciso de informações sobre concursos públicos previstos para 2024."
LAI_018,"Solicito relatório de despesas com diárias. Email para resposta: contato@exemplo.com.br"
LAI_019,"Gostaria de saber sobre licenças ambientais concedidas no último ano."
LAI_020,"Sou Roberto Silva, RG 98.765.432-1, telefone (61) 99876-5432, solicito dados de processos administrativos."
